Año,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
Periodo,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual
          Chiapas,93.1066085463437,88.4691395261799,83.9920177249178,87.7265082785046,88.3235685189865,86.8691759906666,84.473692492935,81.9149681388177,86.1575338622259,84.8538426211613,86.7541467521761,87.5029522860193,82.0804623953516,85.7883807767499,85.5314855525742,86.2000178318274,89.1856695522625,88.1488855122268,90.174152352303,88.4271813121549,92.9386656640878,90.7617526087776,86.5868671237435,89.2906184737832,89.894475967598,89.4652670644282,92.530193068677,91.0058019435163,94.7689829207438,91.9425612493413,92.3950595510774,89.7935788003707,90.22039049923,93.0950918623714,91.3760301782624,93.0076253393001,94.569252688616,98.6999088726548,99.5757608169638,96.4631369293837,97.3271333963154,99.9737075074408,98.6553965362628,101.938306603411,99.4736360108574,100.824584260308,99.7169020898174,100.108325338412,104.772768234126,101.355644980666,96.3281535645622,98.3560960186729,97.7216414591297,107.594108957635,100,104.251729890929,104.383308516537,103.623810000384,106.399338253419,104.664546665317,101.320695277785,102.491781678553,100.915083159766,105.077976701938,102.451384204511,104.03920266782,102.680420059073,99.4500308154237,102.528736552896,102.174597523803,102.948164789469,97.9123989978472,95.7439561823602,98.6334512428429,98.8094928031298,99.9969148283697,95.4996113292864,96.8893865361479,94.3666881884078,96.688150220553,98.3109927719141,92.3196151861812,92.8518377887524,93.8515182551574,94.3334910005013,98.7747600027238,,,,
          Chihuahua,73.7517815478387,73.160942852511,75.5512961074952,80.2309875185975,75.6737520066106,75.1876660004286,79.4758506639529,80.0449811438032,81.6218730072223,79.0825927038518,77.2462203658507,81.226512103027,82.2573752128297,86.1385078400151,81.7171538804306,83.1334705211174,87.077646146575,88.7733593845665,93.4322130240208,88.1041722690699,85.8562644042421,91.0048315740471,92.4582208287881,95.7101735633791,91.2573725926141,88.0745482492824,94.3149090397544,92.1763163366883,95.6227292422952,92.5471257170051,81.487997486906,81.8381151419276,84.2947272255108,89.2151308213681,84.2089926689281,82.2521223977118,88.0111984626882,88.2970210718936,92.3151721221267,87.7188785136051,82.6981685209011,89.0411164014567,89.8944148108652,97.3323504177062,89.7415125377323,91.0623661569509,95.4221851133103,96.8693273970503,102.264989976728,96.4047171610099,93.3943662588899,102.179416355922,99.4016067670904,105.024610618098,100,95.1454996366876,102.488132184221,102.746206515455,107.517296373629,101.974283677498,101.365561959082,104.992936112516,108.336217901445,114.155524180661,107.212560038426,104.233662215804,111.724332421625,112.983007698396,119.697702482618,112.159676204611,109.963488057691,116.129917410757,115.470249444118,121.59708602081,115.790185233344,109.654436891674,118.356545602818,118.08978556478,126.383635901234,118.121100990126,115.657299546156,120.954032280404,119.875142526904,125.293404326659,120.444969670031,115.353622276076,,,,
          Ciudad de México,77.5037798377883,83.4174001365207,76.8114479508598,81.4408015649631,79.793357372533,79.9846777688924,86.7804858462793,80.2999045062887,86.177651548333,83.3106799174484,78.9482401632921,88.9120724387444,83.2768622521361,86.7656382001338,84.4757032635766,84.4127140732831,93.1540786295998,87.84764656022,89.9411846184311,88.8389059703835,83.8517028026655,94.2189900232744,89.9996627896438,92.3495617346646,90.1049793375621,83.0368287267491,95.6532360068818,92.8810062295095,95.1076263251816,91.6696743220805,82.1736402789405,87.7382196535691,90.3317781588035,93.2854027467854,88.3822602095246,87.4070005632157,92.0927565718766,90.9507366310758,95.7073392987757,91.539458266236,90.3085545098831,94.4866753944177,95.3390748277678,99.0267902914741,94.7902737558857,94.6837087305232,98.8704127363426,97.0336615816993,103.556516199769,98.5360748120835,94.1580748045205,101.027400393348,99.4822205405157,105.332304261615,100,98.7193321013497,103.555254821277,101.488877884802,107.532275199978,102.823935001852,103.012358162571,107.383864226391,106.733861364436,112.30825393082,107.359584421054,104.816544996778,110.840086396932,108.668990661204,118.197417071627,110.630759781635,110.745353395293,113.554980812901,111.120842210705,120.316090190512,113.934316652353,110.264718784384,117.505468413474,116.553911262695,123.789643849843,117.028435577599,111.278977441054,114.93494115709,115.89470990134,124.320956955095,116.607396363645,109.631913646671,,,,
          Durango,75.771425984012,77.5416111780455,83.1048411771013,87.1376962993377,80.8888936596241,81.3795895072967,81.1470721697147,85.2970825240066,85.7598356532562,83.3958949635685,77.4018622706212,81.041296987411,83.0151569321302,86.4963632590504,81.9886698623032,81.4460099771373,82.8767554558525,86.2528211202574,88.77526576165,84.8377130787243,84.0807832299224,83.1535194722336,86.3490015156171,90.6798727089784,86.0657942316879,83.677326734533,87.0574383063519,89.7708082295052,90.1329345699328,87.6596269600807,82.6441868928958,84.2521418953002,87.4137927542049,90.7440401890187,86.2635404328549,83.6830974925396,88.9869486205688,90.679260174415,94.7899508643848,89.534814287977,89.9620709015562,91.5453446852106,93.0325916543198,98.5085877528236,93.2621487484776,90.4845406192112,96.8310653006161,98.1299439907967,101.627363518202,96.7682283572065,94.2556430950475,99.8833921092434,101.436651825728,104.424312969982,100,95.4674666787631,101.905862857434,103.66514097956,107.246659213487,102.071282432311,95.4591558970195,101.942852334859,104.940205376324,105.772536016674,102.028687406219,98.6315656355611,105.178318367365,107.76872043607,112.982047933494,106.140163093122,103.144650440301,105.530575033028,106.614521009748,106.940017787375,105.557441067613,102.868512353217,106.703891857836,109.355107782203,109.623615042451,107.137781758927,107.550172498407,108.858514205761,108.922841514407,106.951950661664,108.07086972006,103.991283538184,,,,
          Guanajuato,72.21304699112,73.8631683941593,73.6337270441408,75.1924637276287,73.7256015392622,73.2594443709457,77.7061071380926,74.5259993986139,77.8866602145414,75.8445527805484,73.0913094838433,77.3171394239224,75.4585102819039,79.9818589689439,76.4622045396534,77.6323323578561,81.1038398469822,79.8799099363238,82.7203376835225,80.3341049561712,79.9752785651494,82.1407477788526,81.1438076827862,85.5324422292399,82.198069064007,81.8309583072527,87.9634477599666,83.6174830354522,84.9972097526762,84.6022747138369,78.7679184589256,79.0769465245329,80.8626223801679,85.3387481867906,81.0115588876043,82.4563717418141,87.1368190109725,86.9278831284721,91.4035575938758,86.9811578687837,87.9233051120549,92.6262316460238,92.4503252464605,95.7762761200432,92.1940345311456,92.6177586410626,94.3211095813062,96.2824313095558,100.865807221199,96.0217766882809,94.6883041719615,97.8239068875917,101.637567497786,105.85022144266,100,98.9097170284357,101.272492475263,105.278685571792,111.70043992764,104.290333750783,106.241944463961,112.181793235408,109.126462459692,112.326579817616,109.969194994169,106.998613704968,112.405487221813,114.382863035644,119.193866646794,113.245207652305,116.06309472472,118.13960332502,117.71902054431,121.814191156687,118.433977437684,116.9080017815,122.148325713046,118.008734260328,122.539234305373,119.901074015062,117.410425569364,120.5496972532,118.063186966896,121.172424643665,119.298933608281,117.476016348759,,,,
          Guerrero,78.7396459742316,82.7511271333457,83.9569692153308,88.5641094585735,83.5029629453704,85.3047369858067,87.2144124979595,89.3801721319328,90.1076717694018,88.0017483462752,87.5048955439658,87.2426603281181,89.9223478046372,92.2034770614736,89.2183451845487,88.4752883927443,90.3254408003077,91.2172815011302,94.7539755758732,91.1929965675139,91.0971421881873,91.1950235489533,92.8612273970244,99.3789241274588,93.6330793154059,92.8235913324144,95.73884316176,95.2952241420503,96.899179333895,95.1892094925299,90.2794964116253,88.5347715516652,91.7825456486548,97.2804358618204,91.9693123684414,91.3153240902941,95.224941380116,97.8733950046719,102.934635383538,96.837073964655,96.0099391515883,96.5692629940116,98.0197701418458,101.479674835464,98.0196617807275,96.4150718408846,99.2093951440086,98.7679130855081,104.340965685603,99.6833364390012,96.0277877846484,100.692303140676,99.5965560057911,103.683353068885,100,100.003965159956,104.248211993445,102.660709932581,109.261093500407,104.043495146597,102.388915007503,107.091557400177,103.370834915094,106.835401567526,104.921677222575,108.553339038524,107.231912540542,105.546810915337,106.771875426273,107.025984480169,104.856396179946,107.138185524312,105.564552068639,110.378731930245,106.984466425785,110.586324173065,110.764593247442,107.654993968537,111.526435439455,110.133086707125,112.571385681452,108.778346679903,106.140524030301,107.028948884642,108.629801319074,109.131133011379,,,,
          Hidalgo,72.9672059678708,79.1551280993474,77.871604981641,80.9441987445259,77.7345344483463,79.4706280793595,83.8938393189764,83.1210501108255,85.2268111461878,82.9280821638373,77.9686909584854,83.7159587018268,82.2805421948468,85.1914477216413,82.2891598942001,80.9080457547524,86.1135442581412,84.0825358448584,87.2839463300892,84.5970180469603,82.698828019936,86.4671913550366,87.5460306386097,92.5008752977225,87.3032313278262,87.2360146471914,92.5509346888309,91.589249144835,90.2097955659799,90.3964985117093,83.7819470976702,84.1006293349061,83.7681153146649,87.0431886707627,84.673470104501,83.3050369324589,90.4441651903404,88.890435433973,94.6226584922849,89.3155740122643,87.0108839449418,91.8952382819339,94.4537937405266,98.2161788621354,92.8940237073844,90.9324310795777,94.8206172393122,96.3517261322129,103.719686609898,96.4561152652502,93.0881506233669,100.794095251823,99.925392554805,106.192361570005,100,99.7354450227134,104.235264565842,105.362830340662,111.589259111335,105.230699760138,103.897009154864,112.541520640807,111.101766420346,120.449918895273,111.997553777822,114.273755879544,119.034598612483,114.045461325328,118.193674677967,116.38687262383,113.084197526167,117.013308650915,115.588362482643,122.085947898767,116.942954139623,118.414461581526,121.010138473446,118.793980998548,122.036253847544,120.063708725266,120.958074420068,116.818436379813,116.431596587865,119.431895840223,118.410000806992,115.023002180317,,,,
          Jalisco,77.4824726904798,78.3757529064368,77.3090971937094,79.0156799083792,78.0457506747513,79.9768673143237,80.5822709585076,79.7599664451236,81.3991418995023,80.4295616543643,78.9088976925952,83.4098896578117,81.489273922216,86.8993791554199,82.6768601070107,85.8178913511662,87.6009835491295,84.8482325629081,89.6725481296264,86.9849138982076,87.5879083200983,89.8357297474111,88.9803057664751,92.1898164399373,89.6484400684805,88.1766713626699,91.5509555859799,89.8639219741318,91.1360175430692,90.1818916164627,83.3601430030336,83.0226705428088,85.4696495374874,89.9254186745972,85.4444704394817,87.3678374243829,90.8205294337753,90.4026468542719,94.8063045914412,90.8493295759678,90.2134419275418,92.1404309968029,93.5854748229545,98.3658051731874,93.5762882301216,94.9735868930928,95.8919661777032,96.9228266256396,103.064516771072,97.7132241168769,95.9002709031475,100.37261050368,98.90795046163,104.819168131543,100,98.8501499129741,104.427257875671,104.677750197712,111.160952774228,104.779027690146,103.765715820168,107.754701701256,110.594686477799,111.777719752136,108.47320593784,108.706064109574,111.783179633043,113.702404809802,117.076241359076,112.816972477874,113.243564510509,112.709843770689,116.37821808047,119.73031892478,115.515486321612,115.488079560628,117.041926663331,118.940603866693,122.875679898184,118.586572497209,116.350082073371,117.701867886208,119.370000503046,123.162736391412,119.146171713509,113.535252771578,,,,
          México,74.6331733953121,79.4409825713579,76.9818202983257,76.1338100647875,76.7974465824458,75.679836981994,80.3728362972132,78.137213001583,80.4531883393261,78.6607686550291,76.2334424922147,81.7004194412306,80.7736385174723,83.4178008681911,80.5313253297772,81.9617086992573,85.9002957179679,83.3869823888895,85.9149543989308,84.2909853012614,83.0243655071631,87.5458131658759,86.678844916602,89.8644106070758,86.7783585491792,84.9277279546542,90.8556803774501,87.5392894116006,87.7422071990778,87.7662262356957,78.8395756309013,82.3264761825889,83.8166879610545,88.6727239934443,83.4138659419972,85.6684866971198,89.5134215505462,90.1945966243182,94.0887229072476,89.866306944808,90.1758704798197,94.7775424539006,94.4059813162245,96.7001507101667,94.0148862400279,93.9510397904278,97.2224053027443,97.806420704823,103.648185124514,98.1570127306272,96.5935996957829,100.445840112894,99.6012242410613,103.359335950262,100,98.0549910816604,102.976275573256,102.523273076824,107.327078151103,102.720404470711,101.618843025896,105.417271756035,105.860886284018,110.552151703032,105.862288192245,103.268376025249,110.619300575964,107.978338274476,113.386620704284,108.813158894993,107.61044201159,112.648406045156,112.293471217598,123.638178649103,114.047624480862,114.551265801363,119.847180523489,115.900504351366,120.221020779896,117.629992864028,112.068291548228,115.605139578301,112.526227503172,120.182557903507,115.095554133302,111.180152102295,,,,
          Michoacán de Ocampo,80.2265100362676,81.6056115095338,79.0314074273205,86.8095366762412,81.9182664123408,80.0813796356673,83.7442399066718,83.7071909918136,87.4325587893376,83.7413423308726,83.0643138338803,85.4005468228403,82.8846723778935,89.1849323040892,85.1336163346758,86.179369310109,88.4438823156873,87.9062275760103,94.0566084510417,89.1465219132121,88.4998908396593,89.3620100941795,88.8987228107105,98.5281112168087,91.3221837403395,91.6165281774725,95.3515955699759,91.2830586032162,94.1433394606528,93.0986304528293,84.094044948545,89.2329694843462,86.2505230150008,93.1713204191416,88.1872144667584,88.716697769176,93.6662780668476,89.6973061778088,94.8721095193134,91.7380978832865,91.8898121265835,96.2547386729637,93.2728026868184,100.56667279464,95.4960065702515,94.0596060540952,97.2950967366905,96.8197163195576,103.551525644485,97.9314861887071,97.906757512173,100.058075422711,97.8835793394147,104.151587725701,100,105.637062992752,107.872457532595,101.299628657405,107.656902373957,105.616512889177,103.577396721764,109.020926581128,108.766648392845,108.203744565955,107.392179065423,107.6420258832,113.728483197058,108.80943355518,117.274888324504,111.863707739985,113.874412884107,112.898556278039,111.802459692475,123.061114830846,115.409135921367,119.704215741174,119.67024299764,110.801748803803,122.05487377941,118.057770330507,119.321149064221,117.061404261135,112.8318014122,122.030905769041,117.811315126649,117.653081444987,,,,
